heldout_cutter,seed,representation,n_train,n_test,wear_mae,wear_nmae_range,wear_r2,n_components,d_state_cosine,d_domain_cosine,sharedness_ratio,trajectory_cosine_mean,domain_silhouette_cosine
C1,-1,pca95,630,315,12.399603421696167,0.0987788830911536,0.6390157751450019,10,1.6969846260628756,0.2733263284342959,6.208639452253134,0.8432789211469652,0.126496848396869
C1,7,dae12,630,315,13.456295379300007,0.10719680161594089,0.5916652690623044,12,0.647905762507247,0.10995690910900935,5.892360632464052,0.8798012652074766,0.10055178406244943
C1,17,dae12,630,315,9.928807713356056,0.07909579871208351,0.7535187413095288,12,0.6977691749218927,0.1332739648101842,5.235600035689317,0.8072826955553074,0.09121419720474028
C1,29,dae12,630,315,13.92649328830223,0.11094253627401611,0.604170746083535,12,0.713266106071238,0.17495303651534258,4.076900408668305,0.8083129367304182,0.16396223751111993
C1,41,dae12,630,315,18.694419599460232,0.14892523778953656,0.2218484061947733,12,0.640251510275749,0.12287800437498365,5.21046474938427,0.89531511544471,0.1320230170181276
C1,53,dae12,630,315,16.20033398871063,0.12905661920674458,0.4535394968967097,12,0.7312706716362677,0.13922941050858464,5.252271549235113,0.7906484373153773,0.10016193933665918
C4,-1,pca95,630,315,13.083658175031708,0.07314950788682933,0.7787053013207308,10,1.70934056038951,0.2633742087676638,6.490159261915121,0.8586170396951349,0.11067326857220434
C4,7,dae12,630,315,13.698128789525299,0.07658495556207517,0.7462086413084859,12,0.7464105544522917,0.13840967381620548,5.392762903538514,0.8150142798593468,0.11074316868956591
C4,17,dae12,630,315,12.311271761075288,0.06883116776180173,0.7992879812125174,12,0.6914654724841961,0.11946392631782511,5.788069200394554,0.8273553468743668,0.0923860214156243
C4,29,dae12,630,315,14.222281393845517,0.07951544369855013,0.7658140432447825,12,0.7800511530335936,0.10817747618698743,7.210846291866202,0.847671694597859,0.12225892695875556
C4,41,dae12,630,315,12.606250244123345,0.07048036484288615,0.7936619148942654,12,0.5934161336461182,0.16928552924777543,3.5054155915125915,0.8566984677118951,0.135036729713473
C4,53,dae12,630,315,13.565772929647311,0.0758449663414389,0.7500956939793568,12,0.6139553249849116,0.13998017620353712,4.386016231954219,0.7901655150911947,0.12909616905684568
C6,-1,pca95,630,315,42.71311814928892,0.22860779605767464,-0.8349677290232342,11,1.7119473410553745,0.14593655464628785,11.730764407813776,0.9104154171589647,0.1185380959726611
C6,7,dae12,630,315,48.79087746078809,0.26113698665234364,-1.5528418347593567,12,0.7245928362403595,0.039304013577642904,18.43559398305547,0.8756581121278617,0.0417528333978041
C6,17,dae12,630,315,39.8921421826816,0.21350945797325402,-0.6532162672300958,12,0.6906542047749226,0.06391310145122837,10.806144422378713,0.7977930377001665,0.12371959732850882
C6,29,dae12,630,315,35.24699522877295,0.18864784979504717,-0.3056184053042237,12,0.7555856052808717,0.04151006681917391,18.2024666101876,0.8039176235955999,0.06290120794031892
C6,41,dae12,630,315,41.49503111024654,0.22208838924619764,-0.7313810991322631,12,0.630440173255742,0.04752698529778219,13.264888763560943,0.7961041485389377,0.0832497576496961
C6,53,dae12,630,315,27.12436469565542,0.14517416431330277,0.22237384726518628,12,0.6429605761845273,0.05396806828052655,11.913722255732745,0.8655575176931062,0.07028362902393724
