representation,heldout_cutter,seed,wear_mae,wear_nmae_range,wear_r2,d_state_cosine,d_domain_cosine,sharedness_ratio,trajectory_cosine_mean,domain_silhouette_cosine
pca95,C1,-1,12.39960342169617,0.09877888309115362,0.6390157751450014,1.6969846260628751,0.27332632843429605,6.208639452253129,0.8432789211469651,0.12649684839686895
vicreg12,C1,7,12.719828021337115,0.1013298863140065,0.5779472112145866,0.8807375828425089,0.2950522800286611,2.9850221213473422,0.5912488301595052,0.09543251246213913
vicreg12,C1,17,12.864974176316034,0.10248616321950062,0.6360922039615464,0.9950895110766093,0.3649249275525411,2.7268334825677583,0.5559941629568735,0.10931479930877686
vicreg12,C1,29,14.39227287655785,0.11465307329119548,0.4923962788858288,0.8142289519309998,0.2912161846955617,2.7959605087862864,0.5972188909848531,0.08330591022968292
vicreg12,C1,41,12.488194844079397,0.09948462838452,0.6793389251614919,0.9339144031206766,0.3718397915363312,2.511604256390929,0.5491420229276022,0.12073001265525818
vicreg12,C1,53,12.066511196560329,0.09612537258389865,0.6450143965790411,0.7582402427991232,0.35553353031476337,2.132682794012987,0.4561013877391815,0.13020138442516327
pca95,C4,-1,13.083658175031704,0.07314950788682932,0.7787053013207309,1.70934056038951,0.2633742087676636,6.490159261915126,0.8586170396951353,0.11067326857220432
vicreg12,C4,7,14.750590236603268,0.08246916897499759,0.7149053064334105,0.7806675831476847,0.3150550623734792,2.477876651985904,0.4860312044620514,0.11612793803215027
vicreg12,C4,17,12.80520459129697,0.07159269997064646,0.7706697186485121,0.9447762568791708,0.39935946464538574,2.365728974811518,0.5181060979763666,0.12331248074769974
vicreg12,C4,29,15.345398736378502,0.08579468760773704,0.6979688608405443,0.9435109297434489,0.3337291181087494,2.8271759296507297,0.5511428117752075,0.06300311535596848
vicreg12,C4,41,14.663327183799138,0.08198128941685491,0.7183691685508948,0.9813646078109741,0.34473705291748047,2.846704755125456,0.5740753908952078,0.09916017949581146
vicreg12,C4,53,13.300363365052238,0.07436108631500737,0.7603473328019066,0.9186914364496866,0.3763677179813385,2.440941113054753,0.5636151731014252,0.10809782892465591
pca95,C6,-1,42.71311814928892,0.22860779605767464,-0.8349677290232347,1.7119473410553743,0.145936554646288,11.730764407813764,0.9104154171589643,0.11853809597266117
vicreg12,C6,7,19.92369664510091,0.1066349771852007,0.5985398440856409,0.47717853387196857,0.003706216812133789,128.750841607804,0.7960505684216818,-0.0026794595178216696
vicreg12,C6,17,26.6703001839774,0.14274393463726015,0.2545811802383119,0.555282195409139,0.0028864840666453042,192.37320643246073,0.8123292922973633,-0.007049140520393848
vicreg12,C6,29,29.25612073625837,0.1565836813724779,0.13906719437892023,0.43686534961064655,0.002245823542277018,194.5234526187172,0.7798480788866679,-0.015704426914453506
vicreg12,C6,41,21.83802191113669,0.11688076814984949,0.518269720278225,0.5366964141527811,0.0023754239082336426,225.93711045281586,0.7908598184585571,-0.002059153513982892
vicreg12,C6,53,20.5226803491986,0.1098408387659365,0.5692307909247115,0.5084977547327677,0.001962989568710327,259.04251483506624,0.8015687266985575,-0.017588991671800613
