representation,heldout_cutter,wear_mae,wear_nmae_range,wear_r2,wear_r2_seed_std
fixed_patch,C1,19.670367126464843,0.15669992246246794,0.26632741837126767,0.13667304027417682
fixed_patch,C4,23.92421506245931,0.13375804648712686,0.5812484008797919,0.030354795153998373
fixed_patch,C6,32.56212158203125,0.17427795422971554,0.3528012130784667,0.04926994555714442
process_token,C1,16.182669118245446,0.12891589565977632,0.30635933608099275,0.20995865223847338
process_token,C4,35.202413914998374,0.19681340033972294,0.029445239129045554,0.12692229244291836
process_token,C6,35.84435994466146,0.19184504627844565,0.19567740446637746,0.13544361235028687
random_phase,C1,20.646053110758466,0.1644725236093386,0.09426381600979714,0.3159679601672123
random_phase,C4,36.2828485361735,0.2028540091500079,-0.21849939041851227,0.3647183274193848
random_phase,C6,34.14377909342448,0.18274325139050576,0.3768843251168924,0.04150139756275695
