representation,wear_mae_mean,wear_nmae_range_mean,wear_r2_mean,wear_r2_min_fold,wear_r2_max_fold,fold_r2_range,mean_fold_seed_std
fixed_patch,25.385567923651802,0.15491197439310345,0.4001256774431754,0.26632741837126767,0.5812484008797919,0.31492098250852424,0.07209926032843987
process_token,29.076480992635094,0.172524780759315,0.17716065989213858,0.029445239129045554,0.30635933608099275,0.2769140969519472,0.15744151901055956
random_phase,30.357560246785482,0.1833565947166174,0.0842162502360591,-0.21849939041851227,0.3768843251168924,0.5953837155354047,0.24072922838311803
