representation,wear_mae_mean,wear_nmae_range_mean,wear_r2_mean,wear_r2_min_fold,wear_r2_max_fold,fold_r2_range,mean_fold_seed_std
fixed_patch,25.242690607706706,0.15392745589763934,0.40774417151481285,0.27521781890058505,0.5973895398233451,0.32217172092276003,0.07864762719695308
process_token,31.580043004353843,0.1862956286385314,0.0028630355358090823,-0.3391908385677622,0.3050168391006286,0.6442076776683908,0.165543766873282
random_phase,30.585964058770077,0.1823106946448485,0.06447704990639119,-0.3905207155423371,0.39407120668533085,0.7845919222276679,0.14446500517689284
