representation,wear_mae_mean,wear_mae_std,wear_nmae_range_mean,wear_nmae_range_std,wear_r2_mean,wear_r2_std,d_state_cosine_mean,d_state_cosine_std,d_domain_cosine_mean,d_domain_cosine_std,sharedness_ratio_mean,sharedness_ratio_std,trajectory_cosine_mean_mean,trajectory_cosine_mean_std,domain_silhouette_cosine_mean,domain_silhouette_cosine_std,n_components_mean,n_components_std
pca95,22.929849691943474,14.352392332426383,0.13464606941059645,0.06921713515222802,0.17910640831298297,0.7484548491774436,1.6593915780944215,0.0035302615859210823,0.5620891020898396,0.012196719359736497,2.9536814932157736,0.06894996621376286,0.8602237189643889,0.027133425180209395,0.1185694043139115,0.006459987346533392,10.333333333333334,0.4714045207910317
raw,23.101177257478934,6.178915471671023,0.14361503585002514,0.036257888960458,0.1019028327651315,0.43889409120024325,0.1470955375530675,0.0,0.0035708375016242854,4.336808689942018e-19,41.1935680200972,0.0,0.9917036160088254,0.0,-0.04445586773047278,0.0,48.0,0.0
standardized,23.186691562807884,6.181544679789574,0.1442760726864624,0.03681783242047036,0.08268125889602825,0.4555973402095408,1.6146422849057342,0.021740955483622267,0.593749549633443,0.016723266126547953,2.7223399760430556,0.10676467981563051,0.8302980965591207,0.013525945239504213,0.14179490271403025,0.0060553986616898705,48.0,0.0
