representation,heldout_cutter,wear_mae,wear_nmae_range,wear_r2,wear_r2_seed_std
fixed_raw,C1,20.5178022257487,0.16345083938720048,0.17249234650086215,0.12549086489820352
fixed_raw,C4,25.3849915822347,0.14192511124261878,0.5104153103992841,0.1077610449935442
fixed_raw,C6,32.045657552083334,0.17151375183136117,0.3591843680869394,0.03412890831470805
hybrid_phase,C1,20.938276316324867,0.16680045950192196,0.08694483150212066,0.08154239738443529
hybrid_phase,C4,27.16881655375163,0.1518983096460832,0.42597668198014027,0.13964142152786238
hybrid_phase,C6,36.33922398885092,0.1944936419181958,0.16256714932486765,0.061674999083733355
hybrid_random_phase,C1,21.06682306925456,0.1678245006948178,0.017157985708815614,0.13842050818744733
hybrid_random_phase,C4,27.516767400105795,0.15384367025082488,0.42280194099609636,0.18928682002846775
hybrid_random_phase,C6,33.86165501912435,0.181233275869282,0.28299439860522285,0.040526091193044844
