representation,wear_mae_mean,wear_nmae_range_mean,wear_r2_mean,wear_r2_min_fold,wear_r2_max_fold,fold_r2_range,mean_fold_seed_std
fixed_raw,25.982817120022247,0.15896323415372682,0.34736400832902853,0.17249234650086215,0.5104153103992841,0.33792296389842197,0.08912693940215193
hybrid_phase,28.14877228630914,0.171064137022067,0.2251628876023762,0.08694483150212066,0.42597668198014027,0.3390318504780196,0.09428627266534367
hybrid_random_phase,27.481748496161572,0.1676338156049749,0.24098477510337826,0.017157985708815614,0.42280194099609636,0.40564395528728076,0.12274447313631998
